area,main_url,page_on,plce,title,community,position,tag,re_price,unit_price,housetype,housesize,direction,fitment
门头沟,https://bj.lianjia.com/ershoufang/mentougou/,1,北京,梧桐苑清露园精装修两居室，高层视线无遮挡，电梯房,梧桐苑清露园 ,上岸地铁,VR看装修|房本满五年,358,41872,2室1厅 , 85.5 , 南 , 精装 
门头沟,https://bj.lianjia.com/ershoufang/mentougou/,1,北京,惠民家园满五唯一商品房，中高楼层，无遮挡。,惠民家园 ,大峪,VR看装修|房本满五年,298,39528,2室1厅 , 75.39 , 南 北 , 简装 
门头沟,https://bj.lianjia.com/ershoufang/mentougou/,1,北京,月季园两居 南北通透 全明格局 楼层好采光充足,门头沟月季园 ,滨河西区,VR看装修|房本满五年,215,33673,2室1厅 , 63.85 , 南 北 , 精装 
东城,https://bj.lianjia.com/ershoufang/dongcheng/,1,北京,幸福家园一期南北三居室，不临街中间楼层，满五年唯一,幸福家园一期 ,广渠门,近地铁|VR房源|房本满五年,1950,139595,3室2厅 , 139.69 , 南 北 , 其他 
东城,https://bj.lianjia.com/ershoufang/dongcheng/,1,北京,双朝南，高楼层采光视野好，小区管理好,北官厅胡同 ,东直门,近地铁|VR房源|房本满五年|随时看房,799,135012,2室1厅 , 59.18 , 南 , 简装 
东城,https://bj.lianjia.com/ershoufang/dongcheng/,1,北京,天坛东里中区 2室1厅 南 北,天坛东里中区 ,天坛,近地铁|VR房源|房本满五年|随时看房,512,105048,2室1厅 , 48.74 , 南 北 , 简装 
东城,https://bj.lianjia.com/ershoufang/dongcheng/,1,北京,兴隆都市馨园南北商品房本业主诚心出售,兴隆都市馨园 ,崇文门,近地铁|VR房源|房本满五年|随时看房,698,115163,1室1厅 , 60.61 , 南 北 , 简装 
东城,https://bj.lianjia.com/ershoufang/dongcheng/,1,北京,老东城   景山东华门  电梯直达三居室  拎包入住,正义路10号院 ,前门,近地铁|VR房源|房本满五年|随时看房,965,125881,3室1厅 , 76.66 , 东南 , 精装 
东城,https://bj.lianjia.com/ershoufang/dongcheng/,1,北京,东直门外 东直门南大街 独门独院 满五年 诚意出售,东直门南大街 ,东直门,近地铁|VR房源|房本满五年|随时看房,910,103799,3室1厅 , 87.67 , 南 , 精装 
东城,https://bj.lianjia.com/ershoufang/dongcheng/,1,北京,中海紫御满五唯一，对花园带大储物间,中海紫御公馆 ,陶然亭,VR房源|房本满五年|随时看房,805,118890,1室1厅 , 67.71 , 西北 , 精装 
东城,https://bj.lianjia.com/ershoufang/dongcheng/,1,北京,国瑞城中区 全南三居室 高楼层 费用少,国瑞城中区 ,崇文门,近地铁|VR看装修|房本满五年|随时看房,1199,126718,3室1厅 , 94.62 , 南 , 简装 
东城,https://bj.lianjia.com/ershoufang/dongcheng/,1,北京,国瑞城中区高楼层把边儿户型三居室，敞亮，方正，好房,国瑞城中区 ,崇文门,近地铁|VR房源|房本满五年|随时看房,1190,113442,3室2厅 , 104.9 , 西 北 南 , 精装 
门头沟,https://bj.lianjia.com/ershoufang/mentougou/,1,北京,惠民家园   前后无遮挡   看房随时,惠民家园 ,大峪,VR看装修|房本满两年,200,32006,2室1厅 , 62.49 , 南 , 精装 
门头沟,https://bj.lianjia.com/ershoufang/mentougou/,1,北京,向阳东里 交通便利 配套齐全 小区安静,向阳东里 ,城子,VR看装修|房本满五年,255,38950,2室1厅 , 65.47 , 南 北 , 精装 
门头沟,https://bj.lianjia.com/ershoufang/mentougou/,1,北京,黑山东街小区此房满五不唯一标准价，业主靠谱出售,黑山东街 ,大峪,VR看装修|房本满五年,185,32554,2室1厅 , 56.83 , 南 北 , 简装 
东城,https://bj.lianjia.com/ershoufang/dongcheng/,1,北京,北二环东城区05年小区有电梯高楼层三居室双卫,西营房 ,安定门,近地铁|VR看装修|房本满五年|随时看房,1090,106435,3室1厅 , 102.41 , 北 西 西南 , 精装 
东城,https://bj.lianjia.com/ershoufang/dongcheng/,1,北京,东中公寓 复式 南北通透 采光 视野 装修 近地铁,东中公寓 ,东直门,近地铁|VR房源|房本满五年,2200,88343,6室4厅 , 249.03 , 南 北 , 精装 
东城,https://bj.lianjia.com/ershoufang/dongcheng/,1,北京,富贵园一区 西南两居 户型方正 不临街！,富贵园一区 ,东花市,VR看装修|房本满两年,1455,166629,2室1厅 , 87.32 , 西南 , 精装 
东城,https://bj.lianjia.com/ershoufang/dongcheng/,1,北京,楼层好 视野宽阔 交通便利 配套齐全 无土地出让金,富贵园二区 ,东花市,近地铁|VR看装修|房本满两年,730,95475,2室1厅 , 76.46 , 东 南 , 简装 
东城,https://bj.lianjia.com/ershoufang/dongcheng/,1,北京,博洛尼定制南北通透三居室 满五 不临街 无遮挡  可看,新景家园西区 ,崇文门,VR看装修|房本满两年,1100,120601,3室1厅 , 91.21 , 南 北 , 精装 
东城,https://bj.lianjia.com/ershoufang/dongcheng/,1,北京,东城南二环 天天家园 板楼南北3居 一梯两户满五年唯一,天天家园 ,永定门,近地铁|VR看装修|房本满五年,1268,89987,3室2厅 , 140.91 , 东 南 北 , 精装 
东城,https://bj.lianjia.com/ershoufang/dongcheng/,1,北京,东花市北里中区 南北通透两居室 前后不临街,东花市北里中区 ,东花市,VR看装修|房本满五年,990,110504,2室2厅 , 89.59 , 南 北 , 精装 
东城,https://bj.lianjia.com/ershoufang/dongcheng/,1,北京,东城区 南向一居室 中间楼层 交通方便 随时签约,东革新里40号院 ,永定门,VR看装修|房本满五年|随时看房,360,87805,1室1厅 , 41 , 南 , 简装 
东城,https://bj.lianjia.com/ershoufang/dongcheng/,1,北京,新景家园东区   商品房  朝南一居室 诚心出售,新景家园东区 ,崇文门,VR房源|房本满五年|随时看房,790,133266,1室1厅 , 59.28 , 南 , 精装 
东城,https://bj.lianjia.com/ershoufang/dongcheng/,1,北京,和平里九区 3室2厅 东 西,和平里九区 ,和平里,近地铁|VR房源|房本满五年,869,89745,3室2厅 , 96.83 , 东 西 , 简装 
东城,https://bj.lianjia.com/ershoufang/dongcheng/,1,北京,新中西街 满五年唯一 南向一居室 采光好 不临街,新中西街 ,朝阳门外,近地铁|VR房源|房本满五年,472,120317,1室1厅 , 39.23 , 南 , 简装 
东城,https://bj.lianjia.com/ershoufang/dongcheng/,1,北京,白桥大街24号精装修两居室朝南两居室,白桥大街 ,东花市,近地铁|VR房源|房本满五年,530,114968,2室1厅 , 46.1 , 南 , 精装 
东城,https://bj.lianjia.com/ershoufang/dongcheng/,1,北京,东城区兴化路6号院满五年唯一央产房高楼层,大龙公寓 ,安贞,近地铁|VR看装修|房本满五年,1150,132321,3室1厅 , 86.91 , 西南 , 简装 
东城,https://bj.lianjia.com/ershoufang/dongcheng/,1,北京,东城香河园北里低楼层业主诚心卖,香河园北里 ,东直门,VR看装修|房本满两年,490,127804,1室1厅 , 38.34 , 南 , 精装 
东城,https://bj.lianjia.com/ershoufang/dongcheng/,1,北京,京城仁合南北通透三居室，户型方正,京城仁合 ,广渠门,近地铁|VR看装修|房本满五年,1390,110511,3室1厅 , 125.78 , 北 南 , 精装 
东城,https://bj.lianjia.com/ershoufang/dongcheng/,1,北京,金桥国际 2004年商品房 满二年 精装修 看房有钥匙,金桥国际 ,广渠门,近地铁|VR房源|房本满两年|随时看房,618,97554,1室1厅 , 63.35 , 东 , 精装 
东城,https://bj.lianjia.com/ershoufang/dongcheng/,1,北京,满五年唯一，电梯直达。朝南看南三环。产权清晰,前门东大街 ,崇文门,VR看装修|房本满五年|随时看房,551,112957,2室1厅 , 48.78 , 南 , 精装 
东城,https://bj.lianjia.com/ershoufang/dongcheng/,1,北京,西水井胡同 东西向两居 满五唯一,西水井胡同 ,朝阳门内,近地铁|VR看装修|房本满五年|随时看房,740,96834,2室1厅 , 76.42 , 东 西 , 简装 
东城,https://bj.lianjia.com/ershoufang/dongcheng/,1,北京,只有契税，只有契税，只有契税，近地铁,富贵园二区 ,东花市,近地铁|VR房源|房本满五年|随时看房,735,90955,2室1厅 , 80.81 , 东 , 简装 
东城,https://bj.lianjia.com/ershoufang/dongcheng/,1,北京,崇文门南北通透两居，精装可拎包入住，正对花园诚意卖,崇文门东大街 ,崇文门,近地铁|VR看装修|房本满五年|随时看房,653,108131,2室1厅 , 60.39 , 南 北 , 精装 
东城,https://bj.lianjia.com/ershoufang/dongcheng/,1,北京,新景家园东南一居室，满五唯一商品房本，不临街,新景家园东区 ,崇文门,近地铁|VR看装修|房本满五年|随时看房,708,115649,1室1厅 , 61.22 , 东南 , 精装 
房山,https://bj.lianjia.com/ershoufang/fangshan/,1,北京,此房满五年唯一楼层好，视野宽阔，采光充足，商品房,北潞春家园 ,良乡,VR看装修|房本满五年|随时看房,209,29199,2室1厅 , 71.58 , 南 , 精装 
房山,https://bj.lianjia.com/ershoufang/fangshan/,1,北京,碧桂园小区二区，一层满五唯一。,碧桂园小区二区 ,长阳,VR房源|房本满五年|随时看房,319,28770,3室1厅 , 110.88 , 南 北 , 简装 
房山,https://bj.lianjia.com/ershoufang/fangshan/,1,北京,碧桂园小区二区，南北通透一居室，户型方正,碧桂园小区二区 ,长阳,VR房源|房本满五年|随时看房,209,31457,1室1厅 , 66.44 , 南 北 , 简装 
房山,https://bj.lianjia.com/ershoufang/fangshan/,1,北京,首开熙悦山熹园1号院好楼层全南两居业主随时可签约,首开熙悦山熹园1号院 ,长阳,近地铁|VR房源|房本满五年|随时看房,339,40362,2室1厅 , 83.99 , 南 , 精装 
房山,https://bj.lianjia.com/ershoufang/fangshan/,1,北京,南北通透，明厨明卫，精装修。近地铁，奥莱，公园,芭蕾雨悦都北区 ,长阳,近地铁|VR看装修|房本满五年|随时看房,370,48215,2室1厅 , 76.74 , 南 北 , 精装 
房山,https://bj.lianjia.com/ershoufang/fangshan/,1,北京,绿城▪百合公寓南屏苑 满五年唯一 楼层好 视野无遮挡,绿城百合公寓南屏苑 ,阎村,VR房源|房本满两年|随时看房,272,22652,3室2厅 , 120.08 , 南 北 , 精装 
房山,https://bj.lianjia.com/ershoufang/fangshan/,1,北京,康泽佳苑北区 南北通透 边户卫生间带窗 业主诚心出售,康泽佳苑北区 ,长阳,近地铁|VR房源|房本满五年|随时看房,306,38122,2室1厅 , 80.27 , 东 南 北 , 精装 
房山,https://bj.lianjia.com/ershoufang/fangshan/,1,北京,房山区良乡西路南里小区两居室南北户型诚心出售,西路南里小区 ,良乡,VR房源|房本满五年,239,27634,2室1厅 , 86.49 , 南 北 , 精装 
房山,https://bj.lianjia.com/ershoufang/fangshan/,1,北京,诚意出售，楼层好，视野开阔，看房方便,康泽佳苑南区 ,长阳,近地铁|VR房源|房本满五年|随时看房,236,37319,3室1厅 , 63.24 , 西南 北 , 简装 
房山,https://bj.lianjia.com/ershoufang/fangshan/,1,北京,琨廷精装修三居室 边户，客厅带阳台 满五唯一,北京城建琨廷北区 ,窦店,VR房源|房本满五年|随时看房,223,22539,3室1厅 , 98.94 , 南 北 , 精装 
房山,https://bj.lianjia.com/ershoufang/fangshan/,1,北京,首开熙悦山熹园1号院 诚心出售 满五唯一 店长推荐,首开熙悦山熹园1号院 ,长阳,近地铁|VR房源|房本满五年|随时看房,350,42103,2室1厅 , 83.13 , 南 , 精装 
房山,https://bj.lianjia.com/ershoufang/fangshan/,1,北京,山水汇豪苑A区 2室1厅 南 北,山水汇豪苑A区 ,窦店,VR看装修|房本满五年|随时看房,175,18435,2室1厅 , 94.93 , 南 北 , 精装 
房山,https://bj.lianjia.com/ershoufang/fangshan/,1,北京,金域公园中间楼层两居室   全南向  从未住过 看房随时,京投万科金域公园 ,长阳,近地铁|VR看装修|房本满五年|随时看房,359,40538,2室1厅 , 88.56 , 南 , 精装 
房山,https://bj.lianjia.com/ershoufang/fangshan/,1,北京,康泽佳苑南区 2室1厅 南,康泽佳苑南区 ,长阳,近地铁|VR房源|房本满五年,216,39445,2室1厅 , 54.76 , 南 , 精装 
房山,https://bj.lianjia.com/ershoufang/fangshan/,1,北京,行宫园三里 2室1厅 南 北,行宫园三里 ,良乡,VR房源|房本满五年,185,26013,2室1厅 , 71.12 , 南 北 , 精装 
房山,https://bj.lianjia.com/ershoufang/fangshan/,1,北京,碧桂园小区A区，南北通透大三居，满五唯一,碧桂园小区A区 ,长阳,VR房源|房本满五年,320,25178,3室1厅 , 127.1 , 北 南 , 精装 
房山,https://bj.lianjia.com/ershoufang/fangshan/,1,北京,房山城关东滨河路小区南北通透两居室户型好采光好精装,东滨河路 ,城关,VR房源|房本满五年,126,18541,2室1厅 , 67.96 , 南 北 , 精装 
房山,https://bj.lianjia.com/ershoufang/fangshan/,1,北京,康泽佳苑北区南向一居室毛坯可以自己装修留钥匙,康泽佳苑北区 ,长阳,近地铁|VR房源|房本满五年|随时看房,235,38966,1室1厅 , 60.31 , 南 , 毛坯 
房山,https://bj.lianjia.com/ershoufang/fangshan/,1,北京,溪雅苑全明三居，全屋通透，好楼层好位置，拎包入住,九洲溪雅苑一区 ,长阳,VR看装修|房本满五年,402,30088,3室2厅 , 133.61 , 南 北 , 精装 
房山,https://bj.lianjia.com/ershoufang/fangshan/,1,北京,长阳半岛怡和路8号院满五年南北通透三居室东边户全明,长阳半岛怡和路8号院 ,长阳,VR看装修|房本满五年,709,42407,3室1厅 , 167.19 , 南 北 , 精装 
房山,https://bj.lianjia.com/ershoufang/fangshan/,1,北京,绿城百合公寓春云苑 房子满五唯一,绿城百合公寓春云苑 ,阎村,VR看装修|房本满五年,385,28218,3室2厅 , 136.44 , 南 北 , 精装 
房山,https://bj.lianjia.com/ershoufang/fangshan/,1,北京,万科新里程59号院南北通透精装修三居室，楼层好视野好,万科新里程59号院 ,长阳,近地铁|VR看装修|房本满两年,470,45917,3室1厅 , 102.36 , 南 北 , 精装 
房山,https://bj.lianjia.com/ershoufang/fangshan/,1,北京,阳光邑上 高楼层 电梯洋房 南北两居室,阳光邑上 ,良乡,近地铁|VR房源|房本满五年|随时看房,312,37375,2室1厅 , 83.48 , 南 北 , 精装 
房山,https://bj.lianjia.com/ershoufang/fangshan/,1,北京,阳光邑上 满五年唯一 精装修 南北通透 采光好,阳光邑上 ,良乡,近地铁|VR看装修|房本满五年|随时看房,310,35760,2室1厅 , 86.69 , 南 北 , 精装 
房山,https://bj.lianjia.com/ershoufang/fangshan/,1,北京,太平庄西里2号院 2室1厅 南 北,太平庄西里2号院 ,良乡,VR看装修|房本满五年|随时看房,203,21633,2室1厅 , 93.84 , 南 北 , 其他 
房山,https://bj.lianjia.com/ershoufang/fangshan/,1,北京,此房满五唯一，装修花了25万左右，集中供暖，近地铁,鸿顺园西区 ,良乡,近地铁|VR房源|房本满五年|随时看房,279,31073,2室2厅 , 89.79 , 南 北 , 精装 
房山,https://bj.lianjia.com/ershoufang/fangshan/,1,北京,伟业嘉园西里 1室1厅 东南,伟业嘉园西里 ,良乡,VR房源|房本满五年|随时看房,208,32521,1室1厅 , 63.96 , 东南 , 精装 
房山,https://bj.lianjia.com/ershoufang/fangshan/,1,北京,绿地花都苑满五唯一一梯两户大两居南北通透中高楼层,绿地花都苑 ,长阳,VR房源|房本满五年|随时看房,309,32111,2室1厅 , 96.23 , 南 北 , 精装 
房山,https://bj.lianjia.com/ershoufang/fangshan/,1,北京,智汇雅苑 大学城北地铁站 南朝向 视野开阔,智汇雅苑 ,良乡,近地铁|VR看装修|房本满两年|随时看房,349,39723,2室1厅 , 87.86 , 南 , 简装 
房山,https://bj.lianjia.com/ershoufang/fangshan/,1,北京,黄辛庄东里 电梯两居室 配套齐全 停车方便 看房方便,黄辛庄东里 ,良乡,VR看装修|房本满五年|随时看房,260,27695,2室1厅 , 93.88 , 南 北 , 其他 
顺义,https://bj.lianjia.com/ershoufang/shunyi/,1,北京,鲁能上叠复式 精装修保持好 使用面积大 有产权车位,鲁能7号院颐景润园 ,马坡,VR房源|房本满五年,735,42065,5室2厅 , 174.73 , 南 北 , 精装 
顺义,https://bj.lianjia.com/ershoufang/shunyi/,1,北京,鲁能花园洋房=A2户型+全明格局+客厅面宽7.6米+不临街,鲁能7号院颐景润园 ,马坡,VR房源|房本满五年,660,38388,3室2厅 , 171.93 , 南 北 , 精装 
顺义,https://bj.lianjia.com/ershoufang/shunyi/,1,北京,誉天下 南入户 靠绿地 新装修 可拎包入住,誉天下 ,中央别墅区,VR房源|房本满五年,1350,50364,4室2厅 , 268.05 , 南 北 , 精装 
顺义,https://bj.lianjia.com/ershoufang/shunyi/,1,北京,万科城市花园，复式带院子， 精装修，楼栋位置好。,万科城市花园 ,后沙峪,VR房源|房本满五年,730,42302,3室2厅 , 172.57 , 南 北 , 精装 
顺义,https://bj.lianjia.com/ershoufang/shunyi/,1,北京,中海国际公馆，南北通透电梯三居，,中海国际公馆 ,顺义其它,VR房源|房本满两年,490,37419,3室2厅 , 130.95 , 南 北 , 精装 
顺义,https://bj.lianjia.com/ershoufang/shunyi/,1,北京,2009年商品房，满五唯一，全明格局，电梯洋房,水色时光五区 ,顺义其它,VR房源|房本满五年|随时看房,208,23702,2室2厅 , 87.76 , 南 北 , 精装 
顺义,https://bj.lianjia.com/ershoufang/shunyi/,1,北京,中海国际公馆 2室1厅 南 北,中海国际公馆 ,顺义其它,VR看装修|房本满两年,370,41374,2室1厅 , 89.43 , 南 北 , 精装 
顺义,https://bj.lianjia.com/ershoufang/shunyi/,1,北京,顺悦家园 2室1厅 南,顺悦家园 ,马坡,VR看装修|房本满五年,249,32171,2室1厅 , 77.4 , 南 , 精装 
顺义,https://bj.lianjia.com/ershoufang/shunyi/,1,北京,此房为满五唯一 低楼层  格局方正 南北通透,义宾北区 ,顺义城,近地铁|VR看装修|房本满五年,230,35731,2室1厅 , 64.37 , 南 北 , 简装 
顺义,https://bj.lianjia.com/ershoufang/shunyi/,1,北京,双兴东区 正规三居室 业主诚心出售 随时可以看,双兴东区 ,顺义城,近地铁|VR看装修|房本满五年|随时看房,315,32613,3室1厅 , 96.59 , 北 南 , 简装 
顺义,https://bj.lianjia.com/ershoufang/shunyi/,1,北京,裕龙花园一区 南北通透 带阳台，西边窗，满五唯一,裕龙一区 ,顺义城,VR看装修|房本满五年|随时看房,375,35385,3室1厅 , 105.98 , 南 北 , 精装 
顺义,https://bj.lianjia.com/ershoufang/shunyi/,1,北京,东兴一区 近地铁 小户型 南北通 中间楼层 满5年,东兴一区 ,顺义城,近地铁|VR看装修|房本满五年|随时看房,239,36152,2室1厅 , 66.11 , 南 北 , 简装 
顺义,https://bj.lianjia.com/ershoufang/shunyi/,1,北京,龙湖香醍漫步二区 南北通透 精装修 看房方便,龙湖香醍漫步二区 ,马坡,VR房源|房本满五年|随时看房,555,61894,4室2厅 , 89.67 , 南 北 , 精装 
顺义,https://bj.lianjia.com/ershoufang/shunyi/,1,北京,水木兰亭上叠户型，视野开阔，户型方正，落地窗,水木兰亭 ,中央别墅区,VR房源|房本满五年|随时看房,665,40688,3室2厅 , 163.44 , 南 北 , 简装 
顺义,https://bj.lianjia.com/ershoufang/shunyi/,1,北京,馨港庄园二区 满五年唯一 带电梯 采光好 通透,馨港庄园二区 ,李桥,VR看装修|房本满五年|随时看房,295,26722,2室2厅 , 110.4 , 南 西 北 , 精装 
顺义,https://bj.lianjia.com/ershoufang/shunyi/,1,北京,鲁能7号院颐景溪园，满五唯一，采光好，无遮挡,鲁能7号院颐景溪园 ,马坡,VR看装修|房本满五年|随时看房,386,32476,3室2厅 , 118.86 , 南 北 , 精装 
顺义,https://bj.lianjia.com/ershoufang/shunyi/,1,北京,老业主委托 四期位置好 装修保养好 满五唯一 诚意卖,誉天下四期 ,中央别墅区,VR房源|房本满两年|随时看房,1599,39954,5室2厅 , 400.22 , 南 北 , 精装 
顺义,https://bj.lianjia.com/ershoufang/shunyi/,1,北京,水色时光四区 落地飘窗 两居双卫 满五唯一,水色时光四区 ,顺义其它,VR看装修|房本满五年|随时看房,205,20014,2室2厅 , 102.43 , 北 南 , 简装 
顺义,https://bj.lianjia.com/ershoufang/shunyi/,1,北京,龙湖香醍漫步四区北区满五唯一三居总高8层电梯洋房,龙湖香醍漫步四区北区 ,马坡,VR看装修|房本满五年|随时看房,428,29445,3室1厅 , 145.36 , 南 北 , 精装 
顺义,https://bj.lianjia.com/ershoufang/shunyi/,1,北京,金宝城南区 纯独栋别墅 有装修 无遮挡 集中供暖,金宝城南区 ,马坡,VR房源|房本满五年|随时看房,1450,48250,4室2厅 , 300.52 , 南 北 , 精装 
顺义,https://bj.lianjia.com/ershoufang/shunyi/,1,北京,首创禧瑞山 精装修上叠别墅 小区中间位置,首创禧瑞山 ,马坡,VR房源|房本满两年|随时看房,668,47196,4室2厅 , 141.54 , 南 北 , 精装 
顺义,https://bj.lianjia.com/ershoufang/shunyi/,1,北京,龙湖香醍漫步四区南区 独栋别墅 小区中间位置 采光好,龙湖香醍漫步四区南区 ,马坡,VR房源|房本满五年|随时看房,900,31956,5室2厅 , 281.64 , 南 北 , 毛坯 
顺义,https://bj.lianjia.com/ershoufang/shunyi/,1,北京,香悦四季东三区，精装修4居，业主诚意出售。,香悦四季 ,马坡,VR房源|房本满五年|随时看房,478,34347,4室2厅 , 139.17 , 南 北 , 精装 
顺义,https://bj.lianjia.com/ershoufang/shunyi/,1,北京,馨港庄园二区，中间楼层4层，视野和采光都很好,馨港庄园二区 ,李桥,VR房源|房本满五年|随时看房,383,25010,3室2厅 , 153.14 , 南 北 西 , 简装 
顺义,https://bj.lianjia.com/ershoufang/shunyi/,1,北京,国兴城  精装修  12月份满五年 诚心出售,国兴城 ,后沙峪,VR房源|房本满两年,425,46678,2室1厅 , 91.05 , 南 , 精装 
顺义,https://bj.lianjia.com/ershoufang/shunyi/,1,北京,石园南区 2室1厅 南 北,石园南区 ,顺义城,VR看装修|房本满五年,240,31361,2室1厅 , 76.53 , 南 北 , 简装 
顺义,https://bj.lianjia.com/ershoufang/shunyi/,1,北京,前进花园石门苑 满五唯一 正规大两居 精装修,前进花园石门苑 ,顺义城,近地铁|VR房源|房本满五年,375,34347,2室2厅 , 109.18 , 南 北 , 精装 
顺义,https://bj.lianjia.com/ershoufang/shunyi/,1,北京,前进花园石门苑  小两居室  中间层  房龄新,前进花园石门苑 ,顺义城,VR看装修|房本满两年,305,40201,2室1厅 , 75.87 , 南 北 , 精装 
